job_title,company,location,job_summary,post_date,extract_date,job_url
Data Analyst,RELX Group,"New Delhi, Delhi","Parity Computing , a unit of RELX/Elsevier, is inviting applications for data analyst positions for its OrgDB product to curate organization metadata and name…",7 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=219d49d264adba21&fccid=06206ab329e0eb22&vjs=3
Data Analyst,Align Services,"Delhi, Delhi","A data analyst is someone who scrutinises information using data analysis tools.
Typical duties include: using advanced computerised models to extract the data…",Today,01/04/2021,https://www.indeed.com/rc/clk?jk=8b2b12ce027fc37a&fccid=6f6693279daa99bd&vjs=3
Digital Marketing Analyst,Spread Home Products, ,"Your responsibilities will include tracking online marketing trends, collecting and analyzing data, developing campaign strategies, optimizing and reporting…",7 days ago,01/04/2021,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQk8voojcfv5Vy21frt3oZMyYZd5Xk52yO2KTDYRBYVBMcAj0xsXZ6A9tPn8fdWHi2pIlQQNvzsmlUgjuY7fHXV_CHuvTOPMRKFHNak1Gh4ZKBKb5ZOlzlYu_kmjC8ELgOlTUwurPiIPtWMoqSrcyawhdJ9J38zwqggt5w8BTcjLJMLbARx0nh7UVhIyRcllt7nS5sDOif6oTO8bx6YdjrtfgGLSpqoLIoYy6DCU468GNFnZcRMk9ko1mGKBLzhNAewyt4qqcPiD6pkaJb39OlMaOqrQ6VRClmgBs1PGBM2K0kZaCEiaPhSKPCNXsUgjtJ7bZNxEcXdT8HthxuFRVN0Sx-KCmJ2Z2WDfXT_nxahZ_-8uS1XnxfhkytrxjRUU710K_7gqDT1a4lb1x0cFMg5RxWGuWPFwVrMAr5-B5vLvFrxo0lltKRBgGC9roXopteU-cCVReWreZEtuXMtKqS&p=2&fvj=1&vjs=3
Data Analyst - Intern,Mind Works Global,"Delhi, Delhi","If you are looking for this enriching experience, write to usWork ScopeScrape data from selected sitesClean, restructure data according to specificationsRegular…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=77c81a60d7942913&fccid=6c45d4dca2e46fe5&vjs=3
Data Analyst (Intern),Terra Economics & Analytics Lab (TEAL),"New Delhi, Delhi","Creating compelling data visualizations and communicating results.
Cleaning, organizing, and analyzing data.
Have some experience working with large-scale data…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=bbd99393056e348b&fccid=0443c069c830402f&vjs=3
Research Analyst,E2E Research Pvt. Ltd.,"New Delhi, Delhi","Statistical tools Should have working knowledge of SPSS and excel, for processing raw data or performing statistical analysis (ANOVA test, z-test, t-test,…",13 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=d53657fa3f7277c5&fccid=1ada4352e9c183c4&vjs=3
Finance Research Analyst,Strategy Wanted,"Delhi, Delhi","Conducting research and analysis for previous data and factors.
Creating reports including data screening, scrutinizing, and forecast.",Today,01/04/2021,https://www.indeed.com/company/Strategy-Wanted/jobs/Finance-Research-Analyst-96cf0eb5c8b32524?fccid=b3baf005b8a3059f&vjs=3
Data Mining/ Data Analyst,Auxesis Infotech Private Limited,"Delhi, Delhi","Data Mining, Data Extraction, Lead Generation, IT Sales.
Explore & target new business leads & opportunities in the web development and mobile app development…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=72848b346acfbbfb&fccid=dd7bba01f1b3cff5&vjs=3
Data Analyst,Taboola,"New Delhi, Delhi","Analyze business data, discover root causes for data anomalies and generate actionable recommendations.
At least 2 years experience working in a data analysis /…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=5fc9a0c5b38eca65&fccid=c869809b954e0ce1&vjs=3
Data Analytics & Data Warehousing Internship,iTech Mission Private Limited,"Delhi, Delhi","Prepare and analyze historical data and identify patterns.
Write scripts to prepare and populate development data templates, including those of World Bank,…",5 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=a18d59ff5c4375b6&fccid=56ff137351b3d66f&vjs=3
GLOBAL SUPPLY CHAIN ANALYST,McCormick,"Delhi, Delhi","Management of the supply chain data lab.
Should be comfortable working with structured and unstructured data.
Create and maintain of new dashboards/scorecards.",6 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=0dcfbc224f272cab&fccid=1a901e99932a1f24&vjs=3
Data Analyst,eminenture,"New Delhi, Delhi","Excellent Verbal and Written Skills.
Good Command on Excel (Vlookup,Hlookup,Pivot Tables, Conditional Formatting, If Conditioning and other advanced excel tools…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=365ab2e4a670ae2c&fccid=5eb62cf966b9ec33&vjs=3
Data Analyst,FourthPointer Services Pvt. Ltd.,"Noida, Uttar Pradesh","Good understanding and hands on experience of designing BI warehouse and complex ETL process Extensive expertise in data profiling, data modelling, development,…",23 days ago,01/04/2021,https://www.indeed.com/company/FourthPointer-Services-Pvt.-Ltd./jobs/Data-Analyst-11917d7aa85247c7?fccid=8c90911a07891827&vjs=3
Business Intelligence & Reporting Analyst,The Boston Consulting Group,"New Delhi, Delhi",Experience on data visualization and / or ability to present data analytics in an insightful manner for the leadership will be an added plus.,5 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=323b3a380e4a3b7e&fccid=b95f9eb47968fa13&vjs=3
Data Analyst,Mind Works Global,"Delhi, Delhi","At Mindworks Global, we believe that technology and content are coming together in an unprecedented manner to create more powerful and impactful solutions than…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=546af37709ced9f8&fccid=6c45d4dca2e46fe5&vjs=3
Data Analyst,Advance Jobs Private Limited,"Delhi, Delhi","Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=84733992d194746f&fccid=09eff3c5322fba8f&vjs=3
Logistics Analyst,Gap Inc.,"Delhi, Delhi","This team also supports data cleaning to ensure better visibility and increased accuracy in the systems.
Review, analyze data received for various errors to…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=e5502eb133d43879&fccid=76644a33987f2488&vjs=3
DATA ANALYST,Knowledge Excel Services.,"Delhi, Delhi","Experience in data cleaning and data tabulation activities.
Strong understanding of data management using SPSS and research techniques.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=fa25aff28bd57921&fccid=75f0487bbfb7b2cf&vjs=3
Data Analyst,Singh RanjayKumar(Proprietor Of Zee India Co),"Delhi, Delhi","Acquire data from primary or secondary data sources and maintain databases/data systems.
Technical expertise regarding data models, data mining and segmentation…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=1b620221c7239c74&fccid=1b1ce3f99e5c2381&vjs=3
Business Analyst,Crypto Mize,"Delhi, Delhi","Acquire data from primary or secondary data sources and maintain databases/data systems.
Providing technical expertise on data storage structures, data mining,…",8 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=0dceb2628ae1f063&fccid=bdad58a8df3ba8a4&vjs=3
